,0
56,Thank you for the detailed tour of the car!
57,If they put up the price up then seltos or creta then they are on the lesser sales sides as their service charges are higher too similarly the case with taigun
58,First show the car fully ..your videos are so close ok
59,If diesel is not offered it can’t make it big
60,Magnite is better then khusaq
61,Still no start stop button.
62,Brother iska price kya hai
63,Skoda should launch 1.2 ltr engine rather than 1 ltr.
64,"Price will be the deciding factor, let's wait ✌🏻"
65,"Waiting for more irritating Nexon, Ecosport owners here to brag about thud sound and compare it with seltos/creta.. you guys should buy a road roller, uske toh tyre bhi iron ke hote hai.. sabko thod degi raaste mei 😀"
66,Launched in India??
67,How is skoda after sales service?
68,Your camera not Good
69,Thank you Gagan bhai
70,Very nice review🙂...Skoda kushaq is very nice car and it will compete with kia seltos and Hyundai Creta.
71,Он что нибудь про стоимость сказал?
72,3:15 ha tod de use😄
73,Subwoofer inside the spare tyre??
74,This is one of the best car build in this segement.We needs to upgrade our standard now .Don't understand why we can buy Hyundai & Maruti with low quality ? I think this will be best option for new generation. Love KUSHAQ
75,Bhai aap konsa car use karte ho
76,What are the direct competitor's for this car
77,Gagan bhaiya skoda karoq ka drive review kab ayega
78,Dream car 💯💯
79,which is better? VW Taigun or Skoda Kushaq (same engine/config)?
80,Driver 7873873259
81,I think they have compromised with quality
82,Superb video sir👍
83,Sir how much ground clearance and some such basic featurs missing but solid engineering genrman
84,Skoda kushaq is good quality car
85,Gagan bhai camera work improve karao pls. Thoda wide mein liya karo. Bahut nazdeek se shaots hain kuch samajh nahi aa raha.
86,Kushaq.....bole to koi shak 😎🤟
87,Disel
88,"Their is driving mode like eco,sport,city and also terrain mode like mud,snow,rain 

Their is no curtain on rear 

Their is mood light or ambient 

Engine start and stop can be done with key or not"
89,"Lost job
Seeing u tube"
90,chu bonnet kitna jorse patkoge
91,"Hello Everyone, as i have heard Mr. Zac Hollis in many interviews ....he seems confident about his 2.0 plans.... if Skoda India introduces 1) Premium Hatchback 5 seater (ex. Fabia) = 5.99 for Base - 8.99 for Top Variant.  2) Small SUV (Kushaq - 5 seater) = 7.99 for Base -12.99 for Top Variant. 3) Entry Level sedan 5 seater = 7.49 Base - Top Variant 12.99. 4) Premium Level sedan 12.99 Lac Base - Top Variant 17.99 Lac. 5) Premium SUV 5 Seater = 15.99 Lac Base - Top Variant 18.99 Lac. 6) Entry Level SUV 7 Seater = 19.99 Lac Base - Top Variant 24.99 Lac. if this strategy is followed even only with petrol engines skoda will do a better job in india. The current sales will be doubled in next 2 years and every year the growth of 15-20 % can be seen"
92,"Hello Everyone, as i have heard Mr. Zac Hollis in many interviews ....he seems confident about his 2.0 plans.... if Skoda India introduces 1) Premium Hatchback 5 seater (ex. Fabia) = 5.99 for Base - 8.99 for Top Variant.  2) Small SUV (Kushaq - 5 seater) = 7.99 for Base -12.99 for Top Variant. 3) Entry Level sedan 5 seater = 7.49 Base - Top Variant 12.99. 4) Premium Level sedan 12.99 Lac Base - Top Variant 17.99 Lac. 5) Premium SUV 5 Seater = 15.99 Lac Base - Top Variant 18.99 Lac. 6) Entry Level SUV 7 Seater = 19.99 Lac Base - Top Variant 24.99 Lac. if this strategy is followed even only with petrol engines skoda will do a better job in india. The current sales will be doubled in next 2 years and every year the growth of 15-20 % can be seen."
93,You have not made a perfect shoot it was over zoomed and full look of vedhicle was not showed
94,Price should be competitive to kiger and sonet 😎😀😂
95,"👎👎👎👎 SCODA all cars have major problems in engines most likely in all injectors in every 1 to 2 years you have to change all injectors their are 4 injectors in a car and cost of per injector is around 30,000/- so scoda companies cars are not recommended to anyone shame on company 👎👎👎👎🥵🥵🥵🥵"
96,Is there sunroof at the lowest model?
97,Boycott MG hector and other Chinese brands
98,Gadi ka properly Full view looks to dikhao pehle. Gaddi looms pe bikti hai.Features log bad me dekhte hai.
99,It is sad that Kushaq will not be sold in Europe.
100,Dear Skoda kindly make a check on service and spare cost. Rest is great
101,VW fails again in indian market
102,Taco meter with 80
103,"May be real mein MID acchi lag rhi ho Gagan Bhai par videos mein bilkul out of place lag rhi hai ,  Jaise koi 10 saal purani car se nikal ke fit kar di ho isme..🙄"
104,Want to take revenge from someone gift him second hand skoda . He will die after some time after hearing the maintenance cost 💀
105,Bhai mst h ye gaadi
106,Sir aap har variant ki price bataya kare jisse kuchh help milegi
107,Sir aap har variant ki price bataya kare jisse kuchh help milegi
108,Sir I am very big fan of you
109,Bhai saans lete rehna...😊 Itna josh!!👍🏽
110,Gagan bhai great review one off your best!! U said thud isn't that reassuring in kushaq u mean build quality isn't upto skoda standards??
111,Liked the way you have done this video! Super!!
112,"The new VW play infotainment system is very good, here in Mexico the VW Taos and T-Cross have the VW Play infotainment and it's more intuitive than the old 8 inch screen that you could be found in the Golf, Tiguan and Passat"
113,Diesel kyo bnd kiya skoda ne 😣
114,Its 17 lakhs on road or ex showroom??
115,🤓🤓🙂
116,How much does this one cost?
117,Skoda is 🔥🔥🔥
118,Skoda is well known for Diesel engines and best fuel efficiency not compromising with build quality. Not sure abt petrol...
119,much better than seltos and creta
120,Kya isme air purifier and perfume dispenser hain
121,Millage range?????
122,Are kya bhai camera blur krte rehte ho all the time usase kuch dikhta nhi. Isliye me unsubscribe ho gya. Tum ab bhi vese hi video banate ho. Blur krna chod do or vo fast movement tumehi achi lagti hogi.. mood pura kharab ho jata he
123,wow lovin it
124,Bhai Skoda Rapid TSI ka banao pls
125,"Ever since I test drove Skoda rapid, which shares same engine with one range of Kushaq also, I have become a huge fan of Skoda! Skoda rapid is an SUV soul packed in a sedan body❤️ Now my family is not letting me buy skoda rapid in favour of another popular sedan 😭"
126,Price?
127,"06:09 this button is to select the""lane keeping assistant"" function, which may not be offered in India.
https://youtu.be/DZSxhLKLDSM"
128,I'd go for VW taigun
129,"This is far better than those japanese, korean cheap build, overloaded feature tin car. Waiting for this to upgrade from my VW polo."
130,"Bhai aapne video bade pyar se benaya! Great job!
Bext thing is the price ....which wud be the deciding factor ...lets all wait n watch."
131,Price
132,Best AMT car budget under 6 se 7 lac plz rply
133,Price please??
134,Gagan Choudhary. upto 8 lacs aap konsi car suggest krte ho with good mileage and safty
135,Namaste car🚙
136,is it available to see in Skoda showrooms now?
137,"Gagan Bhai need your help . I purchased new jawa 42.1 but facing problem like rear wheel making annoying sound not all the time and  bike doesn't seems balanced. When you trying to leave the handle it doesn't stay straight not even for 2 seconds. I want you to ask people if they are facing same problem with their jawa42.1 new bike .
I am your subscriber and need your help because dealer is not be able to resolve this issue"
138,Humesha out of focus hoti hai yeh videos
139,"They'll screw up again with pricing.  They are going after jeep , NOT creta or seltos."
140,Price?
141,What's the expected price ?
142,Ask VW and Skoda India why diesels are not being launched in India even when they are using Euro 6 diesels in Europe.
143,Skoda can win if they intelligently place 2 variants out of 5 under 10L. They can actually out perform everyone with this price strategy.
144,Safety is the only concern.. hopefully they have not compromised on that..
145,If they priced this between 9 to 14 lakhs it will eat creta and seltos
146,"Spare wheel of smaller size is like a very disappointing thing for me 
I believe they could do better in it"
147,What is the kmpl of this car
148,Creata ke sath competition karna hai to price aggressive rakhni hogi skoda ko ..
149,S ii
150,Diesel engine nhi hai ;(
151,Did you see any options on ambient lighting like octavia? Zac Hollis mentioned that kushaq will come with ambient lighting but not a single review covered it so far
152,Grill copied from Kia Seltos
153,I think Skoda and Volkswagen has speciality over Hatchbacks and sedans... but in terms of SUV i think JEEP COMPASS leads!!!
154,Impressive Gaganbhai....keep it up
155,Good review
156,Is it FWD or RWD?
157,I have doubt about build quality.
158,https://youtu.be/CcWruW5Mm1M
159,Speak English
160,"Kesa ghatiya quality ka video bnaya h yar , baar focus unfocus ho rhaa n"
161,"TBH you are the finest car reviewer in India, the way you give reviews shows that how deeply you observe things in cars which is a rare quality. Your videos always worth watching, I skip other car reviewer's videos just to see yours because after seeing yours I don't have questions lefts like watching others."
162,Khusaq will be tough competition to seltos n creta
163,"legend know what is Skoda... little boys go with maruti, hyundai ."
164,U are best teaching cars
165,That crazy rugged (white) phone is an iPhone with a LUNATIK CASE on it. 😅😅😅
166,No panaromic sunroof surprisingly
167,"KUSHAQ  means KING in Sanskrit, in case you want to know it :)"
168,I love this  car
169,Best part was that u explained the difference in all  three variants.
170,Pura cost cutting kiya h skoda ne
171,Will it gets uv cut glasses?
172,This is 1.0 l engine right ?
173,Bootspace extra 100 litres means it will win definitely❤️👍
174,VW ki saari cars quality ki to hain ye to mana padega
175,"Skoda and Volkswagen after sale services are horrible and too expensive spare parts.
Better to buy Toyota or Honda more reliable vehicles and they also provide very good safety features.
Dont waste money on these brands.
Can really save lots."
176,Price will be the deciding factor
177,"संस्कृत name , intresting 🔥🤩"
178,Es beauty ko road pe lao
179,But....
180,Which colour is this carbon steel or reflex silver? @gagan choudhary
181,Loved the instrument panel. Analog looks classy.
182,Sounds like Tushar 😂
183,Sir india me skoda ki services kesi hy. Car lene ke baad services ka kharcha moderate hy ya zyada hy?
184,"Only thing I hate with vw and skoda , they don’t produce Diesel engine from past 2 years"
185,Skoda ka kushak desiel ayga kya?
186,"ऐसा लग रहा है कि आपको रिव्यू करने की बहुत जल्दी है।
Just calm down bro...😎🤓"
187,Super detailed review
188,1 liter Ka engine.... The most disappointing thing
189,I see your  in salil vid
190,"Hey, nice presentation. Can you please tell me about the camera and lens you used to shoot this? The video quality is really great. Thanks!"
191,I Definitely buy this car if it come in diesel.
192,"I would say , Ford  Ecosport still dominates."
193,He talks like he’s going to miss a train. Calm Karja
194,Hey Gagan Make a Video on RE classic 350 & Yamaha MT 15
195,"KIA IS CHEATING INDIAN CUSTOMERS. SELTOS HAS A SAFETY RATING OF 3 ONLY (ACTUALLY JUST 2 ONLY,  2.75 ROUNDING UP TO 3) AND WITH A CABIN STRUCTURAL INTEGRITY RATED AS UNSTABLE!!!!!!!!   CRETA MAY GET THE SAME RATING BECAUSE BOTH SHARE THE SAME PLATFORM. FEARING THAT ,HYUNDAI TILL NOW DID NOT SEND CRETA FOR NCAP CRASH TEST. REMEMBER THAT NEXON WHICH IS A SEGMENT BELOW GOT 5 STARS AND NISSAN MAGNITE GOT 4 STARS. KUSHAQ MAY DEFINITELY GET A 5 STAR RATNG."
196,Skoda should be provide diesel engine..
197,10:50 V3 cars' rugged phone
198,Car looks so premium! Price 😂 india:- baad mah aana...Maruti Alto 800 😎💰
199,I think tata Nexon is better than kushaq
200,Price kab unveil hoga??
201,The sunroof extends further if you keep the button pressed. My fabia has same feature that's why I am saying that.
202,Skoda=audi= volkswagen
203,"Skoda went from names like Octavia Fabia Superb to Karoq Kushaq Kamiq. 

VW went from Polo Jetta Passat to Taigun Tiguan TRoc.

Mahinda and Tata still rolling on with Thar and Safari."
204,Can't beat CRETA
205,"Tell Skoda guys dont be greedy, 1st launch the car with very low price since 90% parts are localization,  rest this youtubers wont make your car premium unless Skoda doesn't think like Maruti
."
206,No one will buythis car...
207,Skoda karoq ki information baatayi .
208,Very pathetic service provided my Skoda india
209,The style is drop dead gorgeous
210,This is made in our home land @aurangabad
211,Was waiting for ur video only finally 🔥🔥 i love it
212,Why Skoda is not coming with diesel engines
213,Sad that this car will fail in front of Creta just coz of the reason that it doesn't have a panaromic roof
214,Car is good but hope Skoda didnt price it just like karoq which make good product flop.
215,I have Skoda rapid tsi service price is effordable and experience is also good ❤️
216,Altroz xz  variant
217,"A Skoda which looks Kia from inside. Quality compromise nhi krna chahiye yr , uske liye hyundai vgerah already hai"
218,Service quality is a big question.
219,"Guys please check the dealer. If he is really trustworthy only then put your foot forward.
After doing so much research on which car we should finally buy, we opted for Skoda Rapid style automatic Petrol, and here are we today regretting for the same.
Think twice before you buy.
After sales service from Skoda is pathetic.
From day one there is some or the other problem but no one to rescue.
Dealer gave me fake price quotation, & cheated more than 75000/- 
Also not gave us the second key of my car. 
Collected 1% TCS i.e. 12000/- as per government norms & didn’t deposited in government till date.
I am feeling completely cheated by Skoda and do not know what to do with my car.
So, request all those who plan to buy Skoda to reconsider their decision and ensure they have adequate reasons to buy."
220,"Very poor and low quality interior, at least for top model quality should have kept better
This looks competition for venue and sonet and not for creta/seltos"
221,"Even though the pricing is competitive, the quality doesn't looks great. There's nothing fascinating about the interiors. That standard set by Creta, Seltos, Harrier and Hector, this doesn't comes close. German car k naam par sub standard product."
222,Skoda 2.0 flop hote hue nazar aah raha hai
223,Seltos>>kushaq
224,Price
225,Skoda kushaq same as look like Creta 2017
226,"Sasura 100/- ltr petrol ho rha h.
Kisi time mein diesel petrol mein 21₹ ka difference hota tha.
Na bhaiya na petrol suit na karega.😂😂"
227,डिझेल चाहिए
228,Bhai all over look bhi gadi ka dikhaya kro achhe se
229,Guys... skoda claims that most parts are indian made... so let's hope from 9 L-16 L lakhs ex showroom
230,"No all one touch window that’s a basic for last model 😑,I’m out for this one (my rapid style is much better than this)😓 disappointed"
231,"10 lac price wil b  very attractive and competitive for all SUV 
Wil create new history if around 10lac price"
232,That instrumental cluster kinda looks outdated.. Except that everything is top notch.
233,Start some more road trips for new channel #Ghumakkadgagan 🤔🤔🤔🤔😂😂😂😂😂
234,#Ghumakkadgagan Lost
235,"Namaskaar gagan bhai
.. ✌️"
236,"Gagan, how is khusaq should anyone should wait for it or creta is still the winner and one should go with Creta"
237,It should range not more than 12 lacs as compared to competition in the market
238,I love the skoda design. Elegant and no nonsense designs. If pricing is good this will be my next car
239,Gagan bhai... Kia Seltos version 2 kaap launch hoga? 🤔
240,Skoda mehanga THoda 😜😜
241,Car bahar Se thik se dikhaya bhi nahi hai...
242,Kaha se mil jati hai aapko nayi nayi car
243,What kind of review is this? Why are there comments without familiarising about the features? Amateurish.
244,Arun Panwar :- Kia kyu nahi lii ?
245,Flop show just like Kicks. Its dimensions are on par with Brezza and Venue. They should have squeezed it into Sub 4m or should fight with S cross. No chance against Creta and Seltos
246,Wow! great quality of camera👍🏾
247,Instead of buying this i can spend 2 more lks and go for the beast tata harrier
248,"It's a jackedup fabia. Small, Karoq would have been ideal size. Rather than making a new one, Karoq could have been localised, with an diesel option."
249,Please review jeep compass s top model make complete video on road and off road
250,Aapko video bnani aachi Tarah se Nahi aati
251,Try to keep videos of short duration.
252,Around 10 to 15 lakh
253,Prices should be low
254,"Skoda Kushaq Found testing in Pune 
https://youtu.be/JwuN4DR9q80"
255,❤️🔥🔥
256,"What a stupid feature miss.
Only driver side auto up down. 
Skoda and VW had this very useful feature standard on top variants and I, for one, use and appreciate feature a lot."
257,It should not be priced more than 16 lakhs
258,We want TDI diesel back
259,U cant complain skoda about quality 😁😁.
260,"What's new in this vehicle,even 9 to 11 lakh card like i20 have more features than this kushaq,it can compare with EcoSport and nexon,"
261,If its price between 11 to 16 lac then it becomw succesful but if its price become 12 to 17 lac Chance is very less 😆😆🤘🤘
262,poor mans brand in India that is skoda !!!!
263,Why tf it has 2spoke steering wheel 🥺🤦
264,12:04  ' Gazab Thud Nahi Hai '... Welcome To India
265,✌✌✌✌✌👌👌👌👌💖💖💖nice video
266,"2021, no digital MID, no driver side electric seat adjustment, no rear seat incline adjustment, boot very very poor capacity. Rumour price close to 20lkhs😭🙄"
267,The perfect SUV with lot of features
268,Disappointed
269,Please explain electric scooter and bike ......ab hum or patrol nhi le payng
270,Beautiful
271,"So detailed review ❤️❤️❤️
Thank You Gagan Ji"
272,Seltos is still unbeatable❤
273,"Gagan sir please
Make video on BMW r310g bike"
274,Hyundai Elantra review video banao
275,You sound breathless. In a hurry?
276,"No diesel no chance 😂
... Big mistake of VW group to discontinue TDI engines"
277,"Interior is not upto the mark, very dull and outdated"
278,Does NISSAN Magnite MT XV model Non Turbo has hill assistant?
279,Can we expect L&K variant?
280,No diesel so sad
281,Skoda reliability is questionable. Better to go for Korean or Japanese brands.
282,Gagan Bhai always rocks
283,Please review the  Mini Cooper Countryman new model 2021 S JCW
284,Can't accommodate 3 people comfortably  in the back seat is a big let down👎
285,Jeep wrangler ka review kab krenge sir?
286,Most underwhelming design and features in the class. 😏
287,"Gaganji your voice is soothing, I like to hear reviews in ur voice par aaj apne sedha chabi, headlight aur grill pe Close-up le liye. Pehle bar car dekh rahe hai hum toh ek dor se circular walk-around toh banta hai taki andaz toh lage suv hai ya hatchback ko lamba kiya hai.. I hope u understand as we can only see what u show us as we r not there.
Baki gaadi badheya hai bas thodi aur upright aur height hoti toh jyada Suvish lagti(i had to see other reviews to understand this🙄)"
288,I want to buy VW taigun.please do that review also
289,keep it up bro
290,"Garib bhai,

Ek baat batayoo car review mein ""YEH LOGO"" hai bolna jaruri hai kya?? 

Haar video mein aisa kyu bola jata hai koi reason??"
291,Phone is from v3 cars 10:50
292,Bhai ye event mere office me hua Jw sahar me aap mujhe mile kyu nahi ?
293,"I bet ladkiyon ko serf skoda ki ek he car pasand hogi, any guesses? Ofcourse its skoda laura🤣 samajh rahe ho?"
294,Gagan bhai aajkal bahot he jaldi me rehte hi aisa lagta hai aapko sun k try to little calm
295,Diesel hota toh aur bhi maza aa jata
296,"Welcome to the indian car market, where even Skoda had to reduce the quality of the interiors to sell it’s cars

PS - people still crying over panoramic sunroof."
297,Price matters...guys 2021new  Scorpio or Skoda kushaq?
298,Will it have heating issues ?
299,Reliance retail + jio Mart.... Jio will rule
300,Diesel require .
301,Way too much cost cutting.
302,Ye quality cheap lag rahi hai wrt skoda standards. Manual should be 17 lacs on road max. Orelse no ways am going for a downgraded yet expensive skoda. Yehi lena tha to seltos le lete. Features bi zyada mil jayenge wahan.
303,Love from Lucknow I really like your all videos 👍👍
304,Gagan bhai runnig out of breath!
305,If this car is in 12L - 17L...& if deliverable in April. . Thn I will cancel my booking of seltos & go for this.. Superb car hai boss.. No doubt
306,Which one is good in space or driving ecosport or nexon please help
307,Make another video with driving review and price
308,Ground clearance?
309,"As far as Indian consumers are concerned,  may be after driving test 1.5 Litre Turbo Charged may compete with Jeep Compass petrol"
310,Looking is not good
311,"I think they should have launched it in diesel varient also , otherwise this is car is amazing, going to give a tough competition to creta and seltos. 
And one more thing i didn't understand that what was the purpose for the flip key when it has the push button?"
312,Brother Please do review on NEXON EV
313,Dimensions kya hai.
314,phone v3cars walo ka h
315,price acchi rakho agar market mein rena hai
316,"Top end will b close to 22laks as per my expectations , it might b slightly more than seltos"
317,"Finally rate is here❤️❤️❤️❤️❤️
On road price
10.75
11.57
12.45
13.50
14.33
15.20
16.11❤️❤️❤️❤️❤️❤️❤️"
318,"Finally rate is here❤️❤️❤️❤️❤️
On road price
10.75
11.57
12.45
13.50
14.33
15.20
16.11❤️❤️❤️❤️❤️❤️❤️"
319,steering wheel 3 spoke me dete ya 4 spoke me to accha rehta
320,Can anyone help me actually I bought a second hand ecosport 2013 titanium plus when I lock unlock the car using the key only indicators blink and car gets locked but I don't get any beep or sound how can I enable that beep sound plz help
321,This car is totally copied from lamborghini URUS
322,"Creta is giving panaromic sunroof and other good features at 15 lac, kushaq is there with a normal sunroof like compact suv. Price should be adjusted accordingly."
323,Sir plz Jeep Compass 2021 ka petrol ka rivew laaoo
324,Skoda  interior lamp buttons  are of  cheap quality
325,i can buy this second hand after 3 yrs for 4 lakhs😆
326,This is the information we needed
327,If price is near 9lkh it will grow other wise again low sales
328,Show a full view of car atleast so that we can see watever you are saying
329,"just don't be too happy about it....
the model you are seeing cost around 19-20 lacs on road , that too in petrol....

Real competition against Creta/Seltos would be of :
Base model features ,  
petrol mileage and 
right pricing...."
330,Seltos is way way better in terms of features and looks and engine options
331,"SKODA KUSHAQ Trim levels info. Based on information from PRESS Kit.


Standard features:
	- 2 front airbags
	- All head rests are height adjustable
	- 3 point seat belt in rear center seat , ISOFIX 
	- Two spoke multi function steering wheel, steering mounted controls
    - Central locking, remote key
    - ESC (electronic stability control)
	- Rear parking sensors
	- 6 speakers as standard
	- LED reading lights front and rear
	
active:
	- 16 inch steel wheels with covers
	- Lights Front upper section: halogen low and high beam
	- Lights Front lower section: LED day time running lights 
	- Under body protection : black
	- Roof rails : black
	- Rear diffuser : black
	- AC : no touch panel  (Auto/Manual ?)
	- Infotainment :
		- 7 inch touch screen , built-in microphone, bluetooth, SmartLink, 
		- Skoda connect, app store, wired connection
		- USB type A for data transfer and charging
	- Ambient lightning 
	
ambition:
	- 16 inch alloy wheels 
	- Lights Front upper section: LED low and high beam , LED DRLs 
	- Lights Front lower section: Indicator with classic bulbs and fog lights
	- Under body protection : silver finish
	- Roof rails : silver
	- Rear diffuser : silver
	- Leather wrap steering and gear stick
	- Chrome plated door handles 
	- Automatic with shift paddles
	- Cooled glove box
	- Rear armrest with cup holders
	- 60:40 rear seat folding
	- Sunglass holder 
    - AC - Auto touch control
	- Infotainment :
		- 10 inch touch screen , 
		- Dual tuner, external microphone, GPS receiver
		- Wireless connection - no cable required
		- 2 USB type C for Charging 
		- Can play loss less FLAC and WMA files
	- Ambient lightning also on dashboard and door handles
	- Rear view camera
	- Front sensors
	

style :
	- 17 inch two tone alloy wheels
	- chrome plated window frames
	- Ventilated leather front seats
	- Electronic sunroof
	- Keyless entry
	- Auto dimming rear view mirror
	- Wireless phone charging
	- Phone pockets in back of front seats
	- Chrome package for instrument panel, gear stick, handbrake button.
	- leather look central armrest and door armrests.
	- SKODA high performance sound system with amplifier and subwoofer

Optional:
 - 6 air bags (2 standard + 4 extra)
 - Tyre pressure monitor 
 - Hill hold control"
332,"Ok so few things almost all the reviewers missed are that this is a Skoda and not a Hyundai of Kia. So features like pan sunroof, digital cockpit, all LED light setup in front and back, smaller bezel and a larger screen for infotainment would come as an update features in upcoming years to keep the car refresh. And Škoda has cleverly kept the relevant features like venti seats and a sunroof to give a dent to rivals. Maybe Škoda should roll a VRS variant as well 😅."
333,1 litter engine torq is 175 nm
334,If on road 12 to 18...this is the car U have to buy instead creta and seltos
335,Creta still stands tall 🤟🏻🔥. If this is the top model here then even creta sx provides better vfm than this.
336,Nice review! Seems more like a loaded-with-features crossover than a direct competition to Creta and Seltos! In the league of S Cross with 2021 features!
337,"I drive the Skoda Superb and I can say this car lacks the proper Skoda charm, they have reduced the quality levels here..."
338,Good best
339,"Features ke samne mat bhagna jese ki creta aur seltos 
Agar quality chahiye to skoda se  achha option nahi hey👍 seltos ki 5 star mese 3 star ki rating hey"
340,"bhai Jeep Wrangler ka bhi video banao..
Abhi launch hui h India Main manufacturing bhi hui h"
341,The perfect SUV design for all the SUV in this price range
342,Which Cars Kushaq will compete with.?
343,Seltos sleepless nights are coming
344,"Personally -Better than Seltos 
What say viewers ?"
345,Please get Skoda to add Lapiz Blue or Lava Blue as one of the colour schemes for the Kushaq! Was really hoping they'd do that right at the launch... Fingers crossed : )
346,Without diesel engine? Don't know how much it sell
347,"Should undercut creta then it'll be an attractive package... Despite being smaller, shorter, narrower but mind u feels more premium & plush"
348,video is very blurry.
349,"स्कोडा होता है भाई ,,शकोडा नही"
350,Yeh pitegi buri tarah...suv mein diesel engine ka option bhi hona chahiye...iski width kam hai
351,Aap k time kisi na kisi ka phone mil hi jata hay RR discovery may bhi tah😅😂
352,Indian cost cutting is the real shit in the car industry.
353,very nice walkaround... in fact the best i have seen so far. You touched upon all the relevant points.
354,"If in case the price goes in between 12-17 then India would like to go with Jeep, Tata & Honda 🙂"
355,Flop . Bcz there is no diesel variants
356,sir skoda superb le ke aao please♨♨♨♨♨😉qq
357,Amazing.! Watched on WhatsApp. Came here to like 👍 it.
358,boot space isnt it good for sleeping when we go outings sometime for enjoyment
359,Bhai fortuner ki video banao
360,"Sir, kya space acchi hai 5 logo ke liye ?"
361,i knew the pricing is from 10-17 lacs.
362,I had 2 skoda cars laura and rapid but now only rapid... having skoda experience before was great but now skoda is trying really hard to sustain in indian market... I would never ever buy any skoda car in future.
363,Paice
364,Steering wheel not that attractive looking like old alto
365,Quality dakho
366,"Bhai ke paas 1.5 ltr engine top variant hai, jo autocar ke paas bhi nai hai"
367,"Dct cant touch dsg ever , dsg is the best"
368,"If it launches with aggressive pricing just like rapid , then it will be game changer."
369,385 litres of boot space?! That's it?! Thats very less
370,Is there any options for gear other than manual with clutch.
371,Everything depends on after sales service and Skoda provides the worst after sales service compared to ANY OTHER brand in India. People who buy this car are only going to regret it. I was a skoda owner for 8 yrs and their after sales serbice is garbage
372,"Service pe depend karegi Gagan bhai. Kesi bhi gadi nikal de skoda.Mere pass skoda rapid thi 1st gen wali, kagi pareshaan tha uski service ko leke. Costly or gadi service bhi 2-3 din me hoti thi & aaj bhi inki service aisi hi h."
373,"""Ignis ka Ad aa rha hai isme"" stole my heart ! Epic !!"
374,Digital consol so normal
375,Tpms and front parking sensors available only as accessory? Matlab top model leke bhi we'll have to pay extra?
